Movie,Year,Studio,Production_Budget,Domestic_Gross,Foreign_Gross,Worldwide_Gross,ROI,Profit_USD_Millions,International_Share,Genres,Runtime_Minutes,IMDb_Rating,IMDb_Num_Votes
Wonder Woman,2017,WB,150000000.0,412563408.0,409300000.0,821133378.0,4.47422252,671.133378,0.4980146287276973,"Action,Adventure,Fantasy",141.0,7.5,487527
Frozen,2013,BV,150000000.0,400738009.0,875700000.0,1272469910.0,7.483132733333333,1122.46991,0.6860497680463541,"Adventure,Animation,Comedy",102.0,7.5,516998
Zootopia,2016,BV,150000000.0,341268248.0,682500000.0,1019429616.0,5.79619744,869.429616,0.6666547837689922,"Adventure,Animation,Comedy",108.0,8.0,383446
Moana,2016,BV,150000000.0,248757044.0,394600000.0,637517365.0,3.2501157666666667,487.517365,0.6133452702198128,"Adventure,Animation,Comedy",107.0,7.6,224253
Thor: The Dark World,2013,BV,150000000.0,206362140.0,438200000.0,644602516.0,3.297350106666667,494.602516,0.679841357111046,"Action,Adventure,Fantasy",112.0,6.9,540996
Dunkirk,2017,WB,150000000.0,190068280.0,337200000.0,499837368.0,2.33224912,349.837368,0.6395226354219525,"Action,Drama,History",106.0,7.9,466580
Thor,2011,Par.,150000000.0,181030624.0,268300000.0,449326618.0,1.9955107866666664,299.326618,0.5971104253067782,"Action,Adventure,Fantasy",115.0,7.0,683264
Kung Fu Panda 2,2011,P/DW,150000000.0,165249063.0,500400000.0,664837547.0,3.4322503133333333,514.837547,0.7517474714750706,"Action,Adventure,Animation",90.0,7.2,228465
Mad Max: Fury Road,2015,WB,150000000.0,153636354.0,224800000.0,370098020.0,1.4673201333333334,220.09802,0.5940232687053105,"Action,Adventure,Sci-Fi",120.0,8.1,780910
Ready Player One,2018,WB,150000000.0,137690172.0,445200000.0,579290136.0,2.86193424,429.290136,0.7637802477822528,"Action,Adventure,Sci-Fi",140.0,7.5,301660
The Last Airbender,2010,Par.,150000000.0,131772187.0,187900000.0,319713881.0,1.131425873333333,169.713881,0.5877896408923432,"Action,Adventure,Family",103.0,4.1,137734
Wrath of the Titans,2012,WB,150000000.0,83670083.0,221600000.0,305270083.0,1.0351338866666666,155.270083,0.7259145666101844,"Action,Adventure,Fantasy",99.0,5.7,172330
Dark Shadows,2012,WB,150000000.0,79727149.0,165800000.0,238202668.0,0.5880177866666667,88.202668,0.6752817383954554,"Comedy,Fantasy,Horror",113.0,6.2,229818
White House Down,2013,Sony,150000000.0,73103784.0,132300000.0,205440387.0,0.36960258,55.440387,0.6440971895629732,"Action,Drama,Thriller",131.0,6.4,191791
The Wolfman,2010,Uni.,150000000.0,62189884.0,77800000.0,142634358.0,-0.04910428,-7.365642,0.5557544429424629,"Drama,Fantasy,Horror",103.0,5.8,97873
The Great Wall,2017,Uni.,150000000.0,45157105.0,289400000.0,334486852.0,1.2299123466666666,184.486852,0.8650242235925613,Documentary,72.0,6.5,24
